"Time","autoelettrica"
"2021-08-01",0
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",0
"2022-02-01",0
"2022-03-01",39
"2022-04-01",43
"2022-05-01",42
"2022-06-01",66
"2022-07-01",0
"2022-08-01",47
"2022-09-01",39
"2022-10-01",53
"2022-11-01",44
"2022-12-01",0
"2023-01-01",70
"2023-02-01",42
"2023-03-01",51
"2023-04-01",0
"2023-05-01",0
"2023-06-01",0
"2023-07-01",0
"2023-08-01",91
"2023-09-01",0
"2023-10-01",0
"2023-11-01",53
"2023-12-01",47
"2024-01-01",51
"2024-02-01",0
"2024-03-01",0
"2024-04-01",78
"2024-05-01",54
"2024-06-01",0
"2024-07-01",55
"2024-08-01",52
"2024-09-01",52
"2024-10-01",0
"2024-11-01",0
"2024-12-01",61
"2025-01-01",0
"2025-02-01",0
"2025-03-01",0
"2025-04-01",73
"2025-05-01",0
"2025-06-01",57
"2025-07-01",56
"2025-08-01",57
"2025-09-01",68
"2025-10-01",100
"2025-11-01",0
"2025-12-01",97
"2026-01-01",59
"2026-02-01",78
"2026-03-01",0
"2026-04-01",65
"2026-05-01",83
"2026-06-01",0
"2026-07-01",88
"2026-08-01",35
