"Time","intelligenza artificiale"
"2021-08-01",4
"2021-09-01",5
"2021-10-01",10
"2021-11-01",7
"2021-12-01",6
"2022-01-01",7
"2022-02-01",7
"2022-03-01",8
"2022-04-01",7
"2022-05-01",9
"2022-06-01",10
"2022-07-01",6
"2022-08-01",7
"2022-09-01",9
"2022-10-01",10
"2022-11-01",9
"2022-12-01",15
"2023-01-01",25
"2023-02-01",25
"2023-03-01",39
"2023-04-01",41
"2023-05-01",45
"2023-06-01",57
"2023-07-01",35
"2023-08-01",26
"2023-09-01",38
"2023-10-01",48
"2023-11-01",62
"2023-12-01",59
"2024-01-01",77
"2024-02-01",72
"2024-03-01",65
"2024-04-01",61
"2024-05-01",67
"2024-06-01",72
"2024-07-01",50
"2024-08-01",42
"2024-09-01",62
"2024-10-01",73
"2024-11-01",72
"2024-12-01",71
"2025-01-01",87
"2025-02-01",98
"2025-03-01",92
"2025-04-01",98
"2025-05-01",80
"2025-06-01",80
"2025-07-01",68
"2025-08-01",57
"2025-09-01",73
"2025-10-01",88
"2025-11-01",87
"2025-12-01",79
"2026-01-01",81
"2026-02-01",83
"2026-03-01",91
"2026-04-01",92
"2026-05-01",100
"2026-06-01",98
"2026-07-01",87
"2026-08-01",74
