"Time","ISEE"
"2021-08-01",12
"2021-09-01",22
"2021-10-01",18
"2021-11-01",18
"2021-12-01",15
"2022-01-01",70
"2022-02-01",46
"2022-03-01",33
"2022-04-01",20
"2022-05-01",20
"2022-06-01",17
"2022-07-01",15
"2022-08-01",14
"2022-09-01",24
"2022-10-01",18
"2022-11-01",17
"2022-12-01",17
"2023-01-01",74
"2023-02-01",48
"2023-03-01",29
"2023-04-01",18
"2023-05-01",16
"2023-06-01",14
"2023-07-01",17
"2023-08-01",16
"2023-09-01",23
"2023-10-01",17
"2023-11-01",14
"2023-12-01",17
"2024-01-01",89
"2024-02-01",50
"2024-03-01",30
"2024-04-01",18
"2024-05-01",15
"2024-06-01",15
"2024-07-01",13
"2024-08-01",13
"2024-09-01",21
"2024-10-01",17
"2024-11-01",13
"2024-12-01",15
"2025-01-01",87
"2025-02-01",56
"2025-03-01",35
"2025-04-01",27
"2025-05-01",18
"2025-06-01",17
"2025-07-01",18
"2025-08-01",18
"2025-09-01",29
"2025-10-01",26
"2025-11-01",20
"2025-12-01",19
"2026-01-01",100
"2026-02-01",58
"2026-03-01",32
"2026-04-01",21
"2026-05-01",17
"2026-06-01",17
"2026-07-01",22
"2026-08-01",16
