"Time","regalare un libro"
"2021-08-01",14
"2021-09-01",19
"2021-10-01",14
"2021-11-01",27
"2021-12-01",67
"2022-01-01",22
"2022-02-01",23
"2022-03-01",16
"2022-04-01",16
"2022-05-01",22
"2022-06-01",20
"2022-07-01",19
"2022-08-01",21
"2022-09-01",18
"2022-10-01",16
"2022-11-01",28
"2022-12-01",75
"2023-01-01",21
"2023-02-01",15
"2023-03-01",19
"2023-04-01",20
"2023-05-01",24
"2023-06-01",21
"2023-07-01",19
"2023-08-01",17
"2023-09-01",19
"2023-10-01",23
"2023-11-01",28
"2023-12-01",92
"2024-01-01",20
"2024-02-01",22
"2024-03-01",23
"2024-04-01",18
"2024-05-01",18
"2024-06-01",22
"2024-07-01",18
"2024-08-01",12
"2024-09-01",18
"2024-10-01",13
"2024-11-01",32
"2024-12-01",82
"2025-01-01",25
"2025-02-01",18
"2025-03-01",15
"2025-04-01",21
"2025-05-01",19
"2025-06-01",15
"2025-07-01",20
"2025-08-01",18
"2025-09-01",21
"2025-10-01",28
"2025-11-01",38
"2025-12-01",100
"2026-01-01",26
"2026-02-01",26
"2026-03-01",28
"2026-04-01",31
"2026-05-01",40
"2026-06-01",44
"2026-07-01",35
"2026-08-01",35
