"Time","smartworking"
"2021-08-01",42
"2021-09-01",88
"2021-10-01",74
"2021-11-01",62
"2021-12-01",58
"2022-01-01",85
"2022-02-01",68
"2022-03-01",86
"2022-04-01",53
"2022-05-01",50
"2022-06-01",66
"2022-07-01",68
"2022-08-01",77
"2022-09-01",100
"2022-10-01",59
"2022-11-01",51
"2022-12-01",73
"2023-01-01",52
"2023-02-01",64
"2023-03-01",47
"2023-04-01",45
"2023-05-01",48
"2023-06-01",67
"2023-07-01",52
"2023-08-01",37
"2023-09-01",55
"2023-10-01",55
"2023-11-01",59
"2023-12-01",52
"2024-01-01",46
"2024-02-01",51
"2024-03-01",62
"2024-04-01",50
"2024-05-01",38
"2024-06-01",39
"2024-07-01",40
"2024-08-01",29
"2024-09-01",51
"2024-10-01",48
"2024-11-01",44
"2024-12-01",40
"2025-01-01",49
"2025-02-01",41
"2025-03-01",37
"2025-04-01",40
"2025-05-01",39
"2025-06-01",33
"2025-07-01",42
"2025-08-01",28
"2025-09-01",40
"2025-10-01",46
"2025-11-01",32
"2025-12-01",35
"2026-01-01",39
"2026-02-01",46
"2026-03-01",44
"2026-04-01",83
"2026-05-01",41
"2026-06-01",52
"2026-07-01",39
"2026-08-01",28
