"Time","tasse universitarie"
"2021-08-01",46
"2021-09-01",94
"2021-10-01",62
"2021-11-01",43
"2021-12-01",32
"2022-01-01",39
"2022-02-01",40
"2022-03-01",39
"2022-04-01",35
"2022-05-01",40
"2022-06-01",47
"2022-07-01",62
"2022-08-01",54
"2022-09-01",100
"2022-10-01",68
"2022-11-01",46
"2022-12-01",29
"2023-01-01",44
"2023-02-01",46
"2023-03-01",43
"2023-04-01",32
"2023-05-01",47
"2023-06-01",50
"2023-07-01",63
"2023-08-01",52
"2023-09-01",100
"2023-10-01",65
"2023-11-01",46
"2023-12-01",36
"2024-01-01",46
"2024-02-01",48
"2024-03-01",36
"2024-04-01",37
"2024-05-01",46
"2024-06-01",45
"2024-07-01",57
"2024-08-01",51
"2024-09-01",96
"2024-10-01",61
"2024-11-01",47
"2024-12-01",38
"2025-01-01",42
"2025-02-01",50
"2025-03-01",39
"2025-04-01",32
"2025-05-01",45
"2025-06-01",47
"2025-07-01",68
"2025-08-01",54
"2025-09-01",92
"2025-10-01",58
"2025-11-01",44
"2025-12-01",40
"2026-01-01",51
"2026-02-01",48
"2026-03-01",45
"2026-04-01",38
"2026-05-01",45
"2026-06-01",49
"2026-07-01",60
"2026-08-01",48
